cellule ;largeur de bande;charge_CCE;charge_PRB;CQI;débit;NBR_UE;Trafic ;congested 
18601;15;6,481760351;21,33333333;14,22764458;18,09742546;1,269770847;3,011906981;0
18602;15;6,191093215;25,83333333;13,13532691;18,10654831;1,059421531;2,986721039;0
18603;15;4,845303127;6,333333333;12,35538642;18,11766243;0,980970851;0,220674753;0
18604;15;15,62162961;24,5;11,11378596;18,12008667;1,314497936;3,593362212;0
18605;15;11,55287657;13,66666667;10,697875;18,12804413;1,134173941;1,7208637;0
18606;10;6,994813183;10,16666667;11,81858014;18,12911415;0,997242056;0,610313416;0
18607;10;11,44436751;10,66666667;10,44598597;18,13002014;1,084105516;0,772484303;0
18608;15;5,03315266;6;10,86893382;18,13048744;1,016866767;0,226074338;0
18609;10;13,13626873;17;12,4353377;18,13082123;1,165544772;1,900777698;0
18610;10;4,773983333;5,166666667;9,656915324;18,13307381;0,8111339;0,029921293;0
18611;10;6,493800038;9,833333333;10,41675399;18,13753891;1,005542661;0,45148778;0
18612;10;6,211575738;13,66666667;10,46779447;18,13913918;1,00042247;0,778319836;0
18613;15;27,88114907;80,83333333;9,158097704;18,1467514;1,577526854;10,49962711;0
18614;15;5,060150707;11,16666667;11,22790033;18,14853477;1,124892628;1,286280394;0
18615;15;12,66186592;29,66666667;11,05278162;18,14862823;1,249305353;2,806364775;0
18616;15;7,342927538;11,83333333;12,01341611;18,1570282;1,065816577;0,69997108;0
18617;15;12,99288222;24,16666667;11,48173027;18,16116142;1,366411502;3,268596649;0
18618;15;3,758676261;13,16666667;12,91265109;18,16460609;1,159265676;1,698157191;0
18619;15;4,759208691;6;10,81754532;18,16581726;1,02392144;0,195766449;0
18620;15;4,170104722;18;11,28425845;18,16864967;1,126656297;1,778988719;0
18621;15;7,124140426;8,5;12,18072009;18,17097664;1,089311634;1,133073688;0
18622;10;11,94232693;15,33333333;11,37642535;18,1718483;1,165977591;1,803423047;0
18623;10;10,28083145;18,33333333;11,24408211;18,17272568;1,004241975;1,254973173;0
18624;10;8,007311778;11,16666667;10,63357804;18,1742878;0,988108896;0,725889683;0
18625;10;6,342515186;7,666666667;13,1288247;18,17448425;1,071576647;0,577875495;0
18626;15;5,669483178;6,333333333;10,99960372;18,17568016;1,083277296;0,460735679;0
18627;10;7,669748032;9,833333333;12,43454247;18,18314552;1,049021939;0,841369033;0
18628;15;6,279253999;9,333333333;11,84284967;18,18610191;1,031552508;0,408678532;0
18629;10;6,404454368;7,666666667;13,36218509;18,18867493;1,020754758;0,514638424;0
18630;10;4,945886237;5,666666667;12,57565181;18,19107819;1,003790181;0,159850717;0
18631;15;10,27824661;27;12,64677295;18,19141579;1,331678769;3,811931372;0
18632;15;6,875936479;9,333333333;11,89458103;18,19463158;1,113799289;1,073316574;0
18633;15;3,809374963;9,166666667;12,64559694;18,19482422;1,044393567;0,928083539;0
18634;10;4,452086911;6,5;11,8464525;18,19524193;1,03038322;0,527855873;0
18635;15;5,339369338;21;12,0222926;18,19756889;1,169503908;1,552310586;0
18636;15;8,104026883;17,33333333;11,04422764;18,19764137;1,108454943;2,249846935;0
18637;15;12,43914379;18,5;11,89115242;18,19839478;1,235111401;2,50506556;0
18638;10;6,285866571;6,5;12,57116791;18,20672798;1,037955161;0,479105234;0
18639;15;4,458988335;5,5;10,54367132;18,20792389;1,030852011;0,115603685;0
18640;15;10,47510095;12;11,57186761;18,21095848;1,131569176;1,442230344;0
18641;10;5,271609371;10,66666667;14,32676541;18,21160126;1,000605663;0,043039918;0
18642;15;4,21974816;5,166666667;14,01523167;18,21284866;1,019906273;0,156402469;0
18643;15;5,397419494;5,5;10,29859673;18,21906281;1,002673727;0,167782187;0
18644;15;13,70596667;19;10,91557324;18,22546959;1,1918037;2,25585115;0
18645;10;5,606842463;10,83333333;10,28254302;18,2304039;1,097414017;0,926221251;0
18646;15;4,067642615;5,166666667;13,42775195;18,23674011;0,995359249;0,079267979;0
18647;10;5,12354569;6,166666667;11,35874606;18,23752975;0,99313579;0,123022437;0
18648;15;4,817133101;6,5;11,9637854;18,23901558;0,996670046;0,277876973;0
18649;15;3,3280385;5,666666667;13,9171212;18,2407589;1,028493035;0,381462574;0
18650;15;9,517263852;17,5;11,06706316;18,24331856;1,145578167;1,850429654;0
18651;15;5,609660482;9,833333333;12,13995675;18,24564362;1,043430712;0,859140515;0
18652;15;5,45424974;8,5;14,03437374;18,24603653;1,017839032;0,615556836;0
18653;15;6,07015319;10,33333333;9,87371628;18,24657822;0,934921654;0,649564147;0
18654;15;9,055473455;14,33333333;10,84961103;18,24998856;1,133173284;1,393486261;0
18655;15;11,01103326;27,5;12,60919737;18,25170135;1,224565383;2,654464006;0
18656;15;3,450846198;13,33333333;11,35920722;18,25346184;1,123451134;1,397998929;0
18657;10;5,341779758;13,16666667;9,531816882;18,2573719;0,867215478;0,735750556;0
18658;15;7,105072725;10,33333333;12,04194266;18,26002121;1,079592934;1,403316379;0
18659;15;10,59798515;18,60655738;10,45834013;18,2609539;1,135806316;1,904234767;0
18660;10;5,242953527;7;12,17699017;18,26270485;0,958077042;0,22991097;0
18661;15;3,844147238;6;10,58624825;18,26680946;1,003332039;0,213759303;0
18662;15;7,213718627;13,33333333;10,7139624;18,26709938;1,034458734;1,008759499;0
18663;15;7,41813682;13,66666667;11,41931757;18,26729393;1,080963506;1,168778181;0
18664;10;6,477340279;6,666666667;11,39140514;18,27354813;0,974494585;0,345987201;0
18665;15;13,39961471;16,5;10,84686122;18,27857208;1,169653516;2,19892621;0
18666;15;10,3264717;14,66666667;11,59761839;18,2913208;1,103995179;1,5537709;0
18667;15;6,298769447;9,833333333;10,72920146;18,2971611;1,032627309;0,645802855;0
18668;10;9,659508851;8,5;11,09311905;18,30074883;1,06638672;0,650975585;0
18669;15;3,966008023;12,5;12,63339498;18,30235863;1,160841181;1,367925763;0
18670;15;11,64829524;22;11,10434473;18,31469154;1,361885417;3,132633328;0
18671;10;15,08153721;27,16666667;11,80373035;18,31804085;1,221761792;2,727251053;0
18672;15;4,525622143;7,166666667;12,45899243;18,31818962;1,002427264;0,123709083;0
18673;15;7,274237107;12,66666667;12,82825428;18,32081795;1,175243209;1,63977778;0
18674;15;4,161190954;5,166666667;13,48596421;18,32238388;1,002624229;0,116830587;0
18675;15;3,939983966;5,833333333;14,14528466;18,32636452;1,039087292;0,383423209;0
18676;15;13,44933899;23,83333333;9,949852847;18,32682419;1,300809468;3,04776299;0
18677;10;6,66312397;7;11,46695241;18,32967567;1,004531093;0,268855095;0
18678;15;6,827144667;8,166666667;11,89173121;18,33029747;1,077670995;0,669916391;0
18679;15;7,491852427;12,16666667;10,15811512;18,33214951;1,118692906;0,976557612;0
18680;15;8,560265938;11;11,88490995;18,33241081;1,130898784;1,266988516;0
18681;15;8,091524721;9,333333333;10,90250543;18,33508301;1,124778297;1,255816221;0
18682;15;16,86316774;39;11,8648885;18,33996964;1,5523229;5,916893959;0
18683;15;5,466392878;6,5;12,89110678;18,34336472;1,094248873;0,547239065;0
18684;15;3,5921698;8,5;11,98590374;18,34650803;1,066036454;0,789236307;0
18685;15;4,314545386;13,66666667;13,96626068;18,34822083;1,058164925;1,021819949;0
18686;15;6,164054726;8,5;11,25875248;18,34902382;1,048151756;0,722638369;0
18687;10;12,31431664;15,16666667;8,660045468;18,34938049;1,048511212;1,365068316;0
18688;15;8,096484473;12,16666667;13,04356009;18,36063194;1,184441076;2,315808773;0
18689;15;7,253541442;9,666666667;10,34567298;18,36481857;1,060420991;0,815366864;0
18690;15;15,2273447;37;11,84696944;18,37097549;1,322013793;4,866790652;0
18691;10;4,849208228;5,166666667;12,52585674;18,37254524;0,997617577;0,024762154;0
18692;15;3,875094691;7,833333333;10,8807989;18,37739182;1,00282112;0,416629195;0
18693;15;15,75978245;31,83333333;10,32961147;18,37760544;1,399158651;4,143838763;0
18694;15;4,632779677;5,5;12,39087043;18,37804985;0,984389277;0,167576909;0
18695;15;5,414747277;6;12,24221921;18,37839127;1,049445491;0,491967559;0
18696;15;5,145101674;5,666666667;11,66345905;18,37918472;1,024590164;0,256617308;0
18697;15;7,310808679;10,66666667;10,47006727;18,38277435;1,050782279;0,987415195;0
18698;10;10,04650268;10,5;10,6253514;18,38419151;1,082001924;0,991142511;0
18699;15;5,874623422;7,833333333;12,36660851;18,38697624;1,054909299;0,638857245;0
